date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:46	8978/8978	---M--	200	added ('OK')	image/png	etag:%225dd78cbe-2312%22	https://naturamoz.org.mz/static/home2/fotos/logosdanature/AVM-Consultores-Lda.png	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fotos/logosdanature/AVM-Consultores-Lda.png	(from https://naturamoz.org.mz/)
18:20:46	17107/17107	---M--	200	added ('OK')	image/png	etag:%225dd7925e-42d3%22	https://naturamoz.org.mz/static/home2/fotos/logosdanature/ICOR.png	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fotos/logosdanature/ICOR.png	(from https://naturamoz.org.mz/)
18:20:48	2648995/2648995	---M--	200	added ('OK')	image/jpeg	etag:%225db98139-286ba3%22	https://naturamoz.org.mz/static/home2/fotos/PaginaPrincipal/ParticipacaonaConferenciaCrescendoAzul.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fotos/PaginaPrincipal/ParticipacaonaConferenciaCrescendoAzul.jpg	(from https://naturamoz.org.mz/)
18:20:49	39839/39839	---M--	200	added ('OK')	image/png	etag:%225dd78cbe-9b9f%22	https://naturamoz.org.mz/static/home2/fotos/logosdanature/ADAPO.png	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fotos/logosdanature/ADAPO.png	(from https://naturamoz.org.mz/)
18:20:49	31275/31275	---M--	200	added ('OK')	image/png	etag:%225dd78cbe-7a2b%22	https://naturamoz.org.mz/static/home2/fotos/logosdanature/ANAC.png	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fotos/logosdanature/ANAC.png	(from https://naturamoz.org.mz/)
18:20:50	3953/3953	---M--	200	added ('OK')	image/png	etag:%225dd78cbe-f71%22	https://naturamoz.org.mz/static/home2/fotos/logosdanature/TECNEL.png	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fotos/logosdanature/TECNEL.png	(from https://naturamoz.org.mz/)
18:20:51	15591/15591	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202019%2016:21:46%20GMT	https://naturamoz.org.mz/blog/1/	E:/explicador/NaturaWebSite/naturamoz.org.mz/blog/1/index.html	(from https://naturamoz.org.mz/)
18:20:51	112672/112672	---M--	200	added ('OK')	image/jpeg	etag:%225d6fc2d0-1b820%22	https://naturamoz.org.mz/media/home/1e8b8d85-382a-4c71-aa80-8fab480707e8.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/1e8b8d85-382a-4c71-aa80-8fab480707e8.jpg	(from https://naturamoz.org.mz/)
18:20:51	297861/297861	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Dec%202019%2016:21:31%20GMT	https://raw.githubusercontent.com/explicadordev/Images/master/Natura/partners/up.png	E:/explicador/NaturaWebSite/raw.githubusercontent.com/explicadordev/Images/master/Natura/partners/up.png	(from https://naturamoz.org.mz/)
18:20:52	13983/13983	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202019%2016:21:47%20GMT	https://naturamoz.org.mz/blog/2/	E:/explicador/NaturaWebSite/naturamoz.org.mz/blog/2/index.html	(from https://naturamoz.org.mz/)
18:20:54	80675/80675	---M--	200	added ('OK')	image/jpeg	etag:%225d6fc3db-13b23%22	https://naturamoz.org.mz/media/home/6a80ac4a-37c8-4d72-987f-cab4275cdac2.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/6a80ac4a-37c8-4d72-987f-cab4275cdac2.jpg	(from https://naturamoz.org.mz/)
18:20:54	14860/14860	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202019%2016:21:49%20GMT	https://naturamoz.org.mz/blog/3/	E:/explicador/NaturaWebSite/naturamoz.org.mz/blog/3/index.html	(from https://naturamoz.org.mz/)
18:21:00	105587/105587	---M--	200	added ('OK')	image/jpeg	etag:%225d6fc6e8-19c73%22	https://naturamoz.org.mz/media/home/fb655ac0-7ae1-437b-9799-03bdd0c98cdf.jpg	E:/explicador/NaturaWebSite/naturamoz.org.mz/media/home/fb655ac0-7ae1-437b-9799-03bdd0c98cdf.jpg	(from https://naturamoz.org.mz/)
18:21:02	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:W/%22573f4859-14e4a%22	https://code.jquery.com/jquery-2.2.4.min.js	E:/explicador/NaturaWebSite/code.jquery.com/jquery-2.2.4.min.js	(from https://naturamoz.org.mz/)
18:21:02	19071/19071	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-4a7f%22	https://naturamoz.org.mz/static/home2/js/vendor/popper.min.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/js/vendor/popper.min.js	(from https://naturamoz.org.mz/)
18:21:08	51148/51148	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-c7cc%22	https://naturamoz.org.mz/static/home2/js/vendor/bootstrap.min.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/js/vendor/bootstrap.min.js	(from https://naturamoz.org.mz/)
18:21:09	42772/42772	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-a714%22	https://naturamoz.org.mz/static/home2/js/vendor/owl.carousel.min.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/js/vendor/owl.carousel.min.js	(from https://naturamoz.org.mz/)
18:21:11	37712/37712	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-9350%22	https://naturamoz.org.mz/static/home2/js/vendor/isotope.pkgd.min.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/js/vendor/isotope.pkgd.min.js	(from https://naturamoz.org.mz/)
18:21:11	6244/6244	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-1864%22	https://naturamoz.org.mz/static/home2/js/vendor/jquery.barfiller.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/js/vendor/jquery.barfiller.js	(from https://naturamoz.org.mz/)
18:21:12	1594/1594	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-63a%22	https://naturamoz.org.mz/static/home2/js/vendor/loopcounter.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/js/vendor/loopcounter.js	(from https://naturamoz.org.mz/)
18:21:13	8422/8422	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-20e6%22	https://naturamoz.org.mz/static/home2/js/vendor/slicknav.min.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/js/vendor/slicknav.min.js	(from https://naturamoz.org.mz/)
